prompt,expression,answer
"What is 375 times 218?",375*218,81750.0
"Calculate 9742 divided by 17",9742/17,573.0588235294117
"What's the result of 5632 plus 8921?",5632+8921,14553.0
"Compute 10532 minus 6734",10532-6734,3798.0
"What is 12345 multiplied by 678?",12345*678,8369910.0
"Calculate the sum of 45678 and 98765",45678+98765,144443.0
"What's 987654 divided by 321?",987654/321,3076.803738317757
"Find the product of 456 and 789",456*789,359784.0
"Calculate 15625 plus 12375",15625+12375,28000.0
"What is 75395 minus 42681?",75395-42681,32714.0
"What's the result when you multiply 12345 by 6789?",12345*6789,83810205.0
"Calculate 987654321 divided by 123",987654321/123,8029709.926829268
"How much is 456789 plus 987654?",456789+987654,1444443.0
"What is 55555 minus 33333?",55555-33333,22222.0
"Find the product of 7777 and 8888",7777*8888,69121976.0
"Calculate 123456789 divided by 9876",123456789/9876,12500.687424058324
"What's the sum of 123456 and 654321?",123456+654321,777777.0
"What is 987654 minus 123456?",987654-123456,864198.0
"Compute 1234 times 5678",1234*5678,7006652.0
"Calculate 876543 divided by 987",876543/987,888.0881458966566
"What's the result of 55555 plus 77777?",55555+77777,133332.0
"What is 888888 minus 111111?",888888-111111,777777.0
"Find the product of 123 and 456 and 789",123*456*789,44253432.0
"Calculate 987654321 divided by 54321",987654321/54321,18181.814049814988
"How much is 123456 plus 234567 plus 345678?",123456+234567+345678,703701.0
"What is the result of 999999 minus 888888?",999999-888888,111111.0
"Compute 111 times 222 times 333",111*222*333,8205786.0
"Calculate 9876543 divided by 1234",9876543/1234,8003.681523500811
"What's the sum of 135 and 246 and 357 and 468?",135+246+357+468,1206.0
"What is 98765 minus 56789?",98765-56789,41976.0
"Find the product of 1111 and 2222",1111*2222,2468642.0
"Calculate 1234567 divided by 567",1234567/567,2177.3668430335097
"What's the result of 55555 plus 44444 plus 33333?",55555+44444+33333,133332.0
"What is 777777 minus 222222?",777777-222222,555555.0
"Compute 1234 times 567 times 89",1234*567*89,62271342.0
"Calculate 987654321 divided by 4321",987654321/4321,228570.7755149271
"How much is 135792 plus 246813?",135792+246813,382605.0
"What is 555666 minus 444333?",555666-444333,111333.0
"Find the product of 12 and 34 and 56 and 78",12*34*56*78,1782144.0
"Calculate 123456789 divided by 333",123456789/333,370741.1081081081
"What's the sum of 987 and 654 and 321?",987+654+321,1962.0
"What is 76543 minus 23456?",76543-23456,53087.0
"Compute 9999 times 8888 times 7777",9999*8888*7777,691150638024.0
"Calculate 9876543210 divided by 12345",9876543210/12345,800044.0024301336
"How much is 12345 plus 67890 plus 24680?",12345+67890+24680,104915.0
"What is 98989898 minus 45454545?",98989898-45454545,53535353.0
"Find the product of 1313 and 2424",1313*2424,3182712.0
"Calculate 987654321 divided by a thousand",987654321/1000,987654.321
"What's the result of 543210 plus 109876?",543210+109876,653086.0
"What is 876543 minus 456789?",876543-456789,419754.0
"Compute 99999 times 88888",99999*88888,8888711112.0
"Calculate 123456789 divided by 98765",123456789/98765,1250.0054573988762
"How much is a million plus two million?",1000000+2000000,3000000.0
"What is 7654321 minus 1234567?",7654321-1234567,6419754.0
"Find the product of 951 and the sum of 753 and 159",951*(753+159),867312.0
"Calculate 876543210 divided by 987654",876543210/987654,887.5002885625938
"What's the sum of 11111 and 22222 and 33333?",11111+22222+33333,66666.0
"What is 999999 minus 555555?",999999-555555,444444.0
"Compute 456 times (123 plus 789)",456*(123+789),415872.0
"Calculate 9876543210 divided by (987 plus 654)",9876543210/(987+654),6018612.559414991
"How much is 13579 plus 97531?",13579+97531,111110.0
"What is 999888 minus 888777?",999888-888777,111111.0
"Find the product of 147 and 258 and 369",147*258*369,13994694.0
"Calculate 14725836 divided by 963",14725836/963,15291.626168224298
